,Restaurant,Ranking,Reviews,Price,Range_price,Cousine_type,Address,Phone,Site,Area,Near,Url
22,Il Nutino,"5,0 ",4.187 recensioni,€€-€€€,,"Steakhouse, Italiana, Pizza, Mediterranea, Europea, Salutistica, Toscana, Italiana (centro)","Via Borgo San Lorenzo 39 rosso, 50123, Firenze Italia",+39 349 453 6035,,Centro storico di Firenze,"0,3 km da Piazza del Duomo",https://www.tripadvisor.it/Restaurant_Review-g187895-d1130784-Reviews-Il_Nutino-Florence_Tuscany.html
23,Ristorante Accademia,"4,5 ",1.780 recensioni,€€-€€€,,"Italiana, Mediterranea, Europea, Toscana, Italiana (centro)","Piazza San marco 7/r, 50121, Firenze Italia",+39 055 217343,,Centro storico di Firenze,"0,1 km da Galleria dell'Accademia di Firenze",https://www.tripadvisor.it/Restaurant_Review-g187895-d1557561-Reviews-Ristorante_Accademia-Florence_Tuscany.html
24,Pallaio,"5,0 ",144 recensioni,€€-€€€,,"Italiana, Pizza, Mediterranea, Toscana, Italiana (centro), Birrerie con ristorante","Via Pier Fortunato Calvi 2/R, 50137, Firenze Italia",+39 340 856 7137,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d2345664-Reviews-Pallaio-Florence_Tuscany.html
25,Fattoria Rossi Firenze,"5,0 ",767 recensioni,€€-€€€,,"Italiana, Mediterranea, Europea, Gastropub, Toscana, Italiana (centro)","Piazza Davanzati 3/R, 50123, Firenze Italia",+39 055 088 2688,,Duomo,"0,3 km da Palazzo Vecchio",https://www.tripadvisor.it/Restaurant_Review-g187895-d10057989-Reviews-Fattoria_Rossi_Firenze-Florence_Tuscany.html
26,3dddì Pizzeria,"5,0 ",98 recensioni,€€-€€€,,"Italiana, Pizza, Internazionale, Mediterranea, Toscana, Italiana (centro)","Piazza Lorenzo Ghiberti 10, 50122, Firenze Italia",+39 055 013 1129,,Santa Croce,"0,7 km da Piazza del Duomo",https://www.tripadvisor.it/Restaurant_Review-g187895-d17815237-Reviews-3dddi_Pizzeria-Florence_Tuscany.html
27,Il Bufalo Trippone,"5,0 ",2.081 recensioni,€,,"Italiana, Mediterranea, Gastronomia, Wine Bar, Toscana, Italiana (centro), Cibo di strada","Via dell'Anguillara, 48R, 50122, Firenze Italia",+39 055 290518,,Duomo,"0,2 km da Palazzo Vecchio",https://www.tripadvisor.it/Restaurant_Review-g187895-d2686102-Reviews-Il_Bufalo_Trippone-Florence_Tuscany.html
28,Trattoria Verdi,"5,0 ",320 recensioni,€€-€€€,,"Italiana, Steakhouse, Toscana, Italiana (centro), Mediterranea","Via Giuseppe Verdi 12 Rosso, 50122, Firenze Italia",+39 055 1993 8703,,Centro storico di Firenze,"0,4 km da Piazza del Duomo",https://www.tripadvisor.it/Restaurant_Review-g187895-d17630195-Reviews-Trattoria_Verdi-Florence_Tuscany.html
29,Vaia Concept Store,"4,5 ",270 recensioni,€€-€€€,,"Pesce, Mediterranea, Toscana, Italiana (centro), Grill, Contemporanea","Via Giampaolo Orsini 101R angolo via di Ricorboli, 50123, Firenze Italia",+39 055 094 6627,,"0,7 km da Piazzale Michelangelo",Sito web,https://www.tripadvisor.it/Restaurant_Review-g187895-d11668034-Reviews-Vaia_Concept_Store-Florence_Tuscany.html
30,Raviolo è Raviolo,"5,0 ",584 recensioni,€,,"Italiana, Mediterranea, Salutistica, Toscana, Italiana (centro)","Via dei Benci, 49r, 50122, Firenze Italia",+39 055 248 0189,,Centro storico di Firenze,"0,4 km da Palazzo Vecchio",https://www.tripadvisor.it/Restaurant_Review-g187895-d17383804-Reviews-Raviolo_e_Raviolo-Florence_Tuscany.html
31,La Buchetta Food & Wine restaurant,"4,5 ",3.180 recensioni,€€-€€€,,"Steakhouse, Italiana, Mediterranea, Europea, Wine Bar, Toscana, Italiana (centro)","Via De' Benci 3/3a, 50122, Firenze Italia",+39 055 217833,,Santa Croce,"0,3 km da Gallerie Degli Uffizi",https://www.tripadvisor.it/Restaurant_Review-g187895-d1962917-Reviews-La_Buchetta_Food_Wine_restaurant-Florence_Tuscany.html
32,Culinaria de Gustibus Bistro,"4,5 ",425 recensioni,€€-€€€,,"Mediterranea, Salutistica, Toscana","Piazza Torquato Tasso, 13 Red Between Trattoria Il Tranvai and Galateria La Sorbettiera, 50124, Firenze Italia",+39 055 229494,,San Frediano,"0,7 km da Palazzo Pitti",https://www.tripadvisor.it/Restaurant_Review-g187895-d7355512-Reviews-Culinaria_de_Gustibus_Bistro-Florence_Tuscany.html
33,Amici di Ponte Vecchio,"4,5 ",1.568 recensioni,€,,"Italiana, Pizza, Fast food, Mediterranea, Toscana, Italiana (centro)","Via Dei Bardi 39, 50125, Firenze Italia",+39 055 285301,,Oltrarno,"0,2 km da Gallerie Degli Uffizi",https://www.tripadvisor.it/Restaurant_Review-g187895-d2243897-Reviews-Amici_di_Ponte_Vecchio-Florence_Tuscany.html
34,VETRERIA Ristorante Pizzeria Boutique,"5,0 ",1.101 recensioni,€€-€€€,,"Pizza, Steakhouse, Toscana, Pesce, Grill","Via del Proconsolo 30 r - 32 r Incrocio Piazza del Duomo, 50122, Firenze Italia",+39 055 003 0028,,Duomo,"0,0 km da Piazza del Duomo",https://www.tripadvisor.it/Restaurant_Review-g187895-d16856433-Reviews-VETRERIA_Ristorante_Pizzeria_Boutique-Florence_Tuscany.html
35,Il Vezzo,"4,5 ",1.033 recensioni,€€-€€€,,"Italiana, Mediterranea, Salutistica, Toscana, Italiana (centro)","Via Guelfa 58R, 50129, Firenze Italia",+39 055 281096,,Centro storico di Firenze,"0,3 km da Galleria dell'Accademia di Firenze",https://www.tripadvisor.it/Restaurant_Review-g187895-d5000722-Reviews-Il_Vezzo-Florence_Tuscany.html
36,Ristorante Natalino,"4,5 ",1.565 recensioni,€€-€€€,,Toscana,"Borgo Degli Albizi 17/R, 50122, Firenze Italia",+39 055 289404,,Duomo,"0,3 km da Piazza del Duomo",https://www.tripadvisor.it/Restaurant_Review-g187895-d1102460-Reviews-Ristorante_Natalino-Florence_Tuscany.html
37,Schiacciamatta,"5,0 ",257 recensioni,€,,"Italiana, Fast food, Mediterranea, Toscana, Italiana (centro)","Borgo la croce 68r, 50122, Firenze Italia",+39 055 493 7714,,Santa Croce,"0,7 km da Piazza del Duomo",https://www.tripadvisor.it/Restaurant_Review-g187895-d15695049-Reviews-Schiacciamatta-Florence_Tuscany.html
38,Ristorante da Lino,"4,5 ",1.157 recensioni,€€-€€€,,"Steakhouse, Toscana, Salutistica","Via Sant'Elisabetta 6r, 50122, Firenze Italia",+39 055 284579,,Duomo,"0,2 km da Piazza del Duomo",https://www.tripadvisor.it/Restaurant_Review-g187895-d1536045-Reviews-Ristorante_da_Lino-Florence_Tuscany.html
39,La Bohème Restaurant & Pizza,"5,0 ",1.452 recensioni,€€-€€€,,"Italiana, Steakhouse, Pizza, Mediterranea, Salutistica, Toscana, Grill","Via Guelfa 30 San Lorenzo, 50129, Firenze Italia",+39 055 532 0344,,Centro storico di Firenze,"0,3 km da Galleria dell'Accademia di Firenze",https://www.tripadvisor.it/Restaurant_Review-g187895-d14023513-Reviews-La_Boheme_Restaurant_Pizza-Florence_Tuscany.html
40,Trattoria de' Guicciardini,"5,0 ",108 recensioni,,,Italiana,"Via de' Guicciardini, 66 A meta'Tra Ponte vecchio e Piazza Pitti, 50125, Firenze Italia",+39 055 218617,,Oltrarno,"0,3 km da Gallerie Degli Uffizi",https://www.tripadvisor.it/Restaurant_Review-g187895-d21048643-Reviews-Trattoria_de_Guicciardini-Florence_Tuscany.html
41,Officina Streetfood Firenze,"4,5 ",483 recensioni,€€-€€€,,"Italiana, Bar, Mediterranea, Barbecue, Europea, Toscana, Italiana (centro)","Via Dei Neri 20r, 50122, Firenze Italia",+39 055 280833,,Centro storico di Firenze,"0,3 km da Gallerie Degli Uffizi",https://www.tripadvisor.it/Restaurant_Review-g187895-d12912013-Reviews-Officina_Streetfood_Firenze-Florence_Tuscany.html
42,Nerocarbone Firenze,"5,0 ",102 recensioni,€€-€€€,,"Italiana, Toscana, Italiana (centro), Wine Bar","Via del Parione 43/49r Incrocio con Via della Vigna Nuova, 50123, Firenze Italia",+39 055 295439,,Centro storico di Firenze,"0,3 km da Chiesa di Santa Maria Novella",https://www.tripadvisor.it/Restaurant_Review-g187895-d17441383-Reviews-Nerocarbone_Firenze-Florence_Tuscany.html
43,Trattoria I Fratellini,"5,0 ",795 recensioni,€€-€€€,,"Steakhouse, Barbecue, Salutistica, Toscana, Italiana (centro)","Via Ghibellina 27 Rosso, 50122, Firenze Italia",+39 055 200 1371,,Santa Croce,"0,4 km da Basilica di Santa Croce",https://www.tripadvisor.it/Restaurant_Review-g187895-d3370189-Reviews-Trattoria_I_Fratellini-Florence_Tuscany.html
44,Tripperia Pollini,"5,0 ",405 recensioni,€,,"Italiana, Fast food, Toscana, Italiana (centro)","Via de'Macci, angolo con Borgo la Croce. A Firenze., Firenze Italia",+39 334 778 2350,,Santa Croce,"0,7 km da Piazza del Duomo",https://www.tripadvisor.it/Restaurant_Review-g187895-d3726456-Reviews-Tripperia_Pollini-Florence_Tuscany.html
45,Sogni e Sapori Avocaderia,"4,5 ",614 recensioni,€,,"Italiana, Mediterranea, Salutistica, Toscana, Italiana (centro)","Via Dei Cimatori 22r, 50122, Firenze Italia",+39 339 612 4909,,Duomo,"0,1 km da Palazzo Vecchio",https://www.tripadvisor.it/Restaurant_Review-g187895-d2524953-Reviews-Sogni_e_Sapori_Avocaderia-Florence_Tuscany.html
46,Le Volte,"5,0 ",239 recensioni,€€-€€€,,"Italiana, Steakhouse, Mediterranea, Barbecue, Europea, Toscana, Italiana (centro), Grill","Via Dell' Orto 5r San Frediano, 50124, Firenze Italia",+39 055 228 6535,,San Frediano,"0,5 km da Piazza Santo Spirito",https://www.tripadvisor.it/Restaurant_Review-g187895-d13297244-Reviews-Le_Volte-Florence_Tuscany.html
47,SandwiChic,"5,0 ",2.390 recensioni,€,,"Italiana, Fast food, Cibo di strada, Toscana, Italiana (centro)","Via San Gallo 3/r, 50129, Firenze Italia",+39 055 281157,,Centro storico di Firenze,"0,2 km da Galleria dell'Accademia di Firenze",https://www.tripadvisor.it/Restaurant_Review-g187895-d6740021-Reviews-SandwiChic-Florence_Tuscany.html
48,Adagio Firenze,"5,0 ",513 recensioni,€€-€€€,,,"Via de' Macci 79 rosso, 50122, Firenze Italia",+39 055 051 7094,,Santa Croce,"0,7 km da Piazza del Duomo",https://www.tripadvisor.it/Restaurant_Review-g187895-d13486018-Reviews-Adagio_Firenze-Florence_Tuscany.html
49,Ribeo,"5,0 ",125 recensioni,€€-€€€,,"Italiana, Mediterranea, Toscana, Italiana (centro)","Via Bonifacio Lupi 5 AR Accanto Hotel Cimabue, 50129, Firenze Italia",+39 391 720 0493,,Centro storico di Firenze,"0,5 km da Galleria dell'Accademia di Firenze",https://www.tripadvisor.it/Restaurant_Review-g187895-d15606046-Reviews-Ribeo-Florence_Tuscany.html
50,Chianineria Trattoria dall'Oste - Duomo,"5,0 ",3.260 recensioni,€€-€€€,,"Italiana, Steakhouse, Barbecue, Salutistica, Toscana, Italiana (centro)","Borgo San Lorenzo 31 Via luigi Alamanni3/5 r, 50123, Firenze Italia",+39 055 202 6862,,Centro storico di Firenze,"0,3 km da Piazza del Duomo",https://www.tripadvisor.it/Restaurant_Review-g187895-d15619497-Reviews-Chianineria_Trattoria_dall_Oste_Duomo-Florence_Tuscany.html
51,Auditore Ristorante Braceria,"4,5 ",1.734 recensioni,€€-€€€,,"Italiana, Steakhouse, Mediterranea, Barbecue, Europea, Salutistica, Toscana, Italiana (centro)","Piazza del Grano 13R, 50122, Firenze Italia",+39 055 217320,,Centro storico di Firenze,"0,2 km da Gallerie Degli Uffizi",https://www.tripadvisor.it/Restaurant_Review-g187895-d13124445-Reviews-Auditore_Ristorante_Braceria-Florence_Tuscany.html
52,L'OV Osteria Vegetariana,"4,0 ",361 recensioni,€€-€€€,,"Salutistica, Italiana, Mediterranea, Internazionale, Ristoranti con bar","Piazza del Carmine 4/R, 50124, Firenze Italia",+39 055 205 2388,,San Frediano,"0,6 km da Palazzo Pitti",https://www.tripadvisor.it/Restaurant_Review-g187895-d12631572-Reviews-L_OV_Osteria_Vegetariana-Florence_Tuscany.html
53,Angel Roofbar & Dining,"5,0 ",177 recensioni,€€-€€€,,"Italiana, Mediterranea","Via Calimala 2 sul 5º piano dell'Hotel Calimala, 50123, Firenze Italia",+39 339 411 3863,,Duomo,"0,2 km da Palazzo Vecchio",https://www.tripadvisor.it/Restaurant_Review-g187895-d18455266-Reviews-Angel_Roofbar_Dining-Florence_Tuscany.html
54,Ristorante Il Ricettario,"5,0 ",1.242 recensioni,€€-€€€,,"Italiana, Mediterranea, Toscana, Italiana (centro)","Via Lambertesca 22r, 50122, Firenze Italia",+39 055 389 4213,,Centro storico di Firenze,"0,1 km da Gallerie Degli Uffizi",https://www.tripadvisor.it/Restaurant_Review-g187895-d13954659-Reviews-Ristorante_Il_Ricettario-Florence_Tuscany.html
55,Osteria de Pitti,"4,5 ",312 recensioni,€€-€€€,,"Italiana, Steakhouse, Pizza, Mediterranea, Toscana","Piazza Dei Pitti 32/33/r Palazzo Pitti, 50125, Firenze Italia",+39 055 281143,,Oltrarno,"0,4 km da Gallerie Degli Uffizi",https://www.tripadvisor.it/Restaurant_Review-g187895-d19748343-Reviews-Osteria_de_Pitti-Florence_Tuscany.html
56,Nobile Bistrò,"4,5 ",557 recensioni,€,,"Italiana, Fast food, Toscana, Italiana (centro)","Piazza di Madonna Degli Aldobrandini 13/R, 50123, Firenze Italia",+39 338 967 0207,,Centro storico di Firenze,"0,4 km da Duomo - Cattedrale di Santa Maria dei Fiore",https://www.tripadvisor.it/Restaurant_Review-g187895-d7618336-Reviews-Nobile_Bistro-Florence_Tuscany.html
57,Caffe Concerto Paszkowski,"5,0 ",169 recensioni,€€-€€€,,"Italiana, Bar, Caffè, Europea","Piazza della Repubblica 31-35r, 50123, Firenze Italia",+39 055 210236,,Duomo,"0,3 km da Duomo - Cattedrale di Santa Maria dei Fiore",https://www.tripadvisor.it/Restaurant_Review-g187895-d696483-Reviews-Caffe_Concerto_Paszkowski-Florence_Tuscany.html
58,Giannino in San Lorenzo,"4,5 ",2.866 recensioni,€€-€€€,,"Toscana, Italiana (centro)","Via Borgo San Lorenzo, 33/35/37R Via Borgo San Lorenzo 33/35r, 50100, Firenze Italia",+39 055 239 9799,,Centro storico di Firenze,"0,3 km da Piazza del Duomo",https://www.tripadvisor.it/Restaurant_Review-g187895-d1529050-Reviews-Giannino_in_San_Lorenzo-Florence_Tuscany.html
59,Melloo,"5,0 ",477 recensioni,€€-€€€,,"Italiana, Pizza, Birreria","Via Luigi Gordigiani 4r, 50127, Firenze Italia",+39 333 758 1154,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d17600356-Reviews-Melloo-Florence_Tuscany.html
60,Cantinetta delle Terme,"4,5 ",828 recensioni,€€-€€€,,"Italiana, Pesce, Mediterranea, Europea, Salutistica, Toscana, Italiana (centro)","Via delle Terme, 14/R, 50123, Firenze Italia",+39 055 239 6084,,Centro storico di Firenze,"0,3 km da Gallerie Degli Uffizi",https://www.tripadvisor.it/Restaurant_Review-g187895-d11543921-Reviews-Cantinetta_Delle_Terme-Florence_Tuscany.html
61,Lo Scudo,"4,5 ",671 recensioni,€€-€€€,,"Italiana, Steakhouse, Mediterranea, Toscana, Italiana (centro)","Via del Oriuolo - 53r Duomo, 50122, Firenze Italia",+39 055 260 8842,,Duomo,"0,0 km da Piazza del Duomo",https://www.tripadvisor.it/Restaurant_Review-g187895-d1916948-Reviews-Lo_Scudo-Florence_Tuscany.html
62,Trattoria San Pierino,"4,5 ",305 recensioni,€€-€€€,,"Italiana, Pesce, Mediterranea, Barbecue, Toscana, Italiana (centro)","Via Dell'Oriuolo 18/r, 50122, Firenze Italia",+39 055 200 1225,,Duomo,"0,3 km da Piazza del Duomo",https://www.tripadvisor.it/Restaurant_Review-g187895-d12946441-Reviews-Trattoria_San_Pierino-Florence_Tuscany.html
63,Aurelio il Re del lampredotto,"5,0 ",644 recensioni,€,,"Italiana, Fast food, Toscana, Grill, Italiana (centro)","Piazza Bernardo Tanucci SNC, 50134, Firenze Italia",+39 333 100 3967,,,,https://www.tripadvisor.it/Restaurant_Review-g187895-d4468500-Reviews-Aurelio_I_Re_del_Lampredotto-Florence_Tuscany.html
64,Ristorante La Falterona,"4,5 ",1.384 recensioni,€€-€€€,,"Steakhouse, Italiana, Toscana, Italiana (centro)","Via Zannoni10-12 R, 50123, Firenze Italia",+39 055 216112,,Centro storico di Firenze,"0,4 km da Campanile di Giotto",https://www.tripadvisor.it/Restaurant_Review-g187895-d1580396-Reviews-Ristorante_La_Falterona-Florence_Tuscany.html
65,La Bistecca - Osteria Fiorentina,"4,5 ",981 recensioni,€€-€€€,,"Italiana, Steakhouse, Mediterranea, Europea, Toscana, Italiana (centro)","Piazza della Repubblica, 12, 50123, Firenze Italia",+39 055 277 6364,,Duomo,"0,2 km da Piazza della Signoria",https://www.tripadvisor.it/Restaurant_Review-g187895-d17406269-Reviews-La_Bistecca_Osteria_Fiorentina-Florence_Tuscany.html
66,Bisteccheria Santa Croce,"4,5 ",1.134 recensioni,€€-€€€,,"Italiana, Steakhouse, Mediterranea, Europea, Toscana, Italiana (centro)","Largo Piero Bargellini 2 Piazza Santa Croce, 50122, Firenze Italia",+39 055 263 8701,,Santa Croce,"0,1 km da Basilica di Santa Croce",https://www.tripadvisor.it/Restaurant_Review-g187895-d16805642-Reviews-Bisteccheria_Santa_Croce-Florence_Tuscany.html
67,Salumeria Verdi - Pino's Sandwiches,"4,5 ",1.247 recensioni,€,,"Italiana, Toscana, Italiana (centro)","Via Giuseppe Verdi, 36, 50122, Firenze Italia",+39 055 244517,,Duomo,"0,4 km da Piazza del Duomo",https://www.tripadvisor.it/Restaurant_Review-g187895-d2348534-Reviews-Salumeria_Verdi_Pino_s_Sandwiches-Florence_Tuscany.html
68,Braceria dei Tre Amici,"4,5 ",444 recensioni,€€-€€€,,"Toscana, Italiana, Steakhouse, Mediterranea, Grill","Via del Proconsolo 73 r, 50122, Firenze Italia",+39 055 051 5565,,Duomo,"0,1 km da Piazza del Duomo",https://www.tripadvisor.it/Restaurant_Review-g187895-d17383859-Reviews-Braceria_dei_Tre_Amici-Florence_Tuscany.html
69,Trattoria Zà Zà,"4,5 ",13.286 recensioni,€€-€€€,,"Steakhouse, Mediterranea, Italiana, Toscana, Italiana (centro)","Piazza del Mercato Centrale 26R, 50123, Firenze Italia",+39 055 215411,,Centro storico di Firenze,"0,4 km da Museo dell'Opera del Duomo",https://www.tripadvisor.it/Restaurant_Review-g187895-d1102359-Reviews-Trattoria_Za_Za-Florence_Tuscany.html
70,Royal India,"4,5 ",1.272 recensioni,€,,Indiana,"Via Guelfa, 90/R, 50129, Firenze Italia",+39 055 461042,,Centro storico di Firenze,"0,4 km da Galleria dell'Accademia di Firenze",https://www.tripadvisor.it/Restaurant_Review-g187895-d5003971-Reviews-Royal_India-Florence_Tuscany.html
